UserId,Department/Region,Young women,"Young people not in employment, education or training (NEET) ",Young migrant workers ,Young refugees ,Young people - sexual orientation and gender identity ,Young people with disabilities ,Young rural workers  ,Young indigenous people ,Other,Other (elaborated answ)
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
USR-202506-0024,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,No specific targets although vulerability of particular groups is always a focus of the research and messaging
USR-202506-0024,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
USR-202506-0025,Region: Asia and the Pacific,YES,YES,YES,,,YES,,YES,,"Young people with disabilities: Although not explicitly covered, the ILO Sri Lanka's broad program targated youth with disability by creating inclusive employment and training opportunities"
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0026,Region: Asia and the Pacific,YES,YES,YES,,,,YES,,,
USR-202506-0026,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0026,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0027,Region: Asia and the Pacific,YES,YES,,,,YES,,YES,YES,Youth in host communities impacted by protracted Rohingya refugee crisis
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,
